22222,12222,55223,55443,55443|0010010000000010100000010
41115,44115,44135,44435,22333|0010000001010000001010000
33332,33332,34322,34455,11155|0010000001010000001010000
22211,23111,33551,43351,44444|0010000001100000001001000
44444,34454,14552,11522,11222|0001010000001000000101000
55222,55222,55333,15514,11111|0001010000001000000101000
22222,22332,44435,11555,11155|0000100100100000001001000
44423,44422,11422,15555,15555|0000101000000101000000100
33155,34155,44225,44455,44455|0010010000000100100000001
55555,54444,32444,32114,32111|0010000001010000001010000
44441,33441,35111,35111,55122|0010010000000010100000010
55522,55552,44112,44411,44433|0100000001001001000000010
11222,13322,15344,55344,55444|0100000001001001000000010
24455,24455,24551,22551,22331|0001001000000011000000100
33355,33555,33122,33122,44122|0001001000000010010010000
22333,22153,22153,44153,44443|0000100100100000001001000
22255,22255,21111,33311,33344|0100000001001001000000010
11422,14422,54422,54422,55332|0100000001001001000000010
44444,15544,15524,13322,11322|0000101000000101000000100
33311,33311,22211,42255,44255|0100000001001001000000010
23111,23344,23444,23445,55555|0010010000000010100000010
22244,21211,51111,51333,51133|0000100100100000001001000
35555,32455,22411,22411,22111|0001010000001000000101000
52444,52254,55551,55511,33311|0001001000000010010010000
53222,55225,45555,45555,11155|0100000010100000000100100
55544,55544,22111,22211,22233|0100000001001001000000010
11333,11133,12222,12522,44444|0001001000000010010010000
22233,22233,55244,55244,11111|0001001000000011000000100
44445,24455,22355,12355,12222|0100000001001001000000010
45555,44555,44335,14322,11322|0001010000001000000101000
31111,31111,22221,44455,44455|1000000010010000000100100
11111,22111,22433,22433,55555|0001010000001000000101000
22221,22311,22311,44355,55555|0100000001001001000000010
44333,41332,11322,11522,55552|1000000010010000000100100
43111,43111,43311,55112,55552|1000000010010000000100100
23333,22333,24553,44551,44111|0001010000001000000101000
33211,33211,44441,44441,45555|0010010000000010100000010
33335,13335,44445,44455,42225|0001010000001000000101000
11222,11225,11155,44113,44443|0010010000000100100000001
33333,43322,45551,44511,44551|0100000010100000000100100
33334,33344,35551,32221,22211|1000000010010000000100100
55533,15533,15553,14455,44422|0010010000000010100000010
11113,21113,24333,44553,55555|0010010000000100100000001
55555,55523,45523,41123,41133|0100000010100000010000001
