22215,22225,22225,33422,33322
11333,15333,55243,55444,55444
55444,54444,55511,22211,33211
55522,33522,33332,44411,44411
44442,44442,44311,55351,55551
22233,22235,22114,21114,21144
13335,14455,14455,22255,22222
44333,44333,55533,55511,52211
33344,11544,11555,11222,22222
11122,11222,11445,11445,33355
44113,44113,41113,45222,45222
11144,11144,15544,55334,55522
11445,13335,12225,11125,11115
53333,55555,11515,11114,11112
12244,12244,11224,55223,55233
33322,13322,13322,11422,15422
41111,44115,44555,44555,43222
11113,11113,44553,44523,45523
54444,54324,53314,55515,55555
12224,22244,22244,22233,22555
22223,22223,55213,55513,54444
11222,11122,11122,41155,44355
55511,55511,32411,32411,33411
33334,22334,22224,11222,55552
55222,55222,15223,11113,11143
22225,44155,44445,44455,33455
34444,31444,31444,31155,33255
44445,42555,22333,12333,11333
11115,15555,45555,22225,33222
22211,35511,33411,33444,33344
11122,41222,33222,35522,35522
55111,45111,43331,42222,42222
31112,34412,33442,33352,35555
33555,33411,33444,33422,34422
11133,15133,25533,22543,22444
44444,44444,44444,44444,21355
44433,44433,44453,22251,22211
44411,22411,22111,33551,33511
11333,11554,25544,55444,55444
11155,21155,21335,24433,44433
22253,22113,21113,21444,22244
33333,55333,55223,55122,44111
44221,44211,54231,54331,44311
22222,43312,43311,33331,33355
22111,22111,52114,55334,55334
33444,33444,33344,33324,55221
43311,11111,11511,22555,22555
53333,53322,44422,44412,11112
33333,44233,24223,22221,22251
41111,44411,54411,22211,22233
22444,23444,44444,11114,55114
11111,11141,11443,12223,55523
43332,43332,55222,55222,55511
11222,51142,51142,55444,55333
55551,25541,25531,25533,22233
11112,11155,11455,44455,44333
44522,33322,13322,33322,33222
53111,53311,54333,44423,44422
11133,55133,55114,55544,55542
33333,33333,33543,22555,11111
55522,55522,44411,44411,44333
33322,13322,11332,11432,11455
22555,25555,25553,11133,44133
22222,32225,33255,35551,33444
55111,55511,55331,45311,42311
22335,22235,11245,11155,11155
13333,15533,15533,15442,55422
33333,33333,13552,14422,14442
44111,44411,54411,24443,24433
11111,11111,55524,55534,55333
43355,43355,44555,41122,41122
