22111,22111,22134,55334,55533|0001001000000010010010000
22333,52413,52411,54444,44444|0000101000000101000000100
22211,22244,22334,55334,55555|0001010000001000000101000
44122,44123,45123,41113,11113|1000000010010000000100100
22224,12244,11215,11115,33335|1000000010010000000100100
11155,11255,22223,44433,44444|0010000001100000001001000
11113,21113,21133,25533,22544|0010010000000010100000010
44555,44455,12445,12223,11133|1000000010010000000100100
44442,13322,13322,13322,12225|0010010000000100100000001
11115,24445,34445,33555,33555|0010010000000100100000001
22254,22554,11144,11144,33144|0001001000000010010010000
11144,11144,11115,22255,33355|0001001000000011000000100
11133,51223,55244,55544,55544|0100000001001001000000010
11111,43311,43312,44322,44555|0001001000000011000000100
33333,53331,55331,54411,52221|0010010000000010100000010
44441,44441,22222,33552,33322|0000100100100000001001000
22555,33555,33554,33444,33441|0100000010100000010000001
33222,31142,34444,55544,55555|0000100100100000001001000
33344,33344,22544,55514,55514|0010000001100000001001000
44555,44255,44233,42233,44211|0010010000000010100000010
11444,11554,11222,11233,22233|0000100100100000001001000
11444,11445,11155,22255,22233|0010010000000010100000010
22222,34222,33112,33355,55555|0000101000000101000000100
11444,15344,15322,13322,13322|0001001000000011000000100
44444,43344,55542,55522,11112|0001001000000010010010000
44411,41111,45553,22533,22233|0010000001010000001010000
55222,55332,53332,51144,51144|1000000100000010100000010
44113,44123,44523,55553,55553|0010010000000100100000001
11113,22111,22511,24551,44551|0000100100100000001001000
33333,44444,11222,11152,11552|0000101000000101000000100
31111,41111,44455,55555,22225|1000000010010000000100100
55521,55224,55334,53344,53344|0000100100100000001001000
55555,35225,35221,33411,33111|0100000010100000010000001
51111,55441,55433,55223,55223|0100000010100000010000001
22444,22224,22534,25533,21333|0001010000001000000101000
33322,33552,11544,15554,11554|0001001000000011000000100
55555,11522,31422,31442,31142|0010000001100000001001000
44455,34455,11444,11442,11142|0001010000001000000101000
54423,54423,51223,11223,11223|1000000100000010100000010
54442,55422,35422,31122,31111|0001001000000011000000100
22533,22533,55544,55541,55111|0000101000000101000000100
35533,33333,11322,11122,44422|0100000010100000000100100
24444,21355,11355,11355,11111|0001010000001000000101000
34422,34222,33125,35555,35555|0100000001001001000000010
12223,11223,14223,44553,45555|1000000100000010100000010
33311,44441,44241,52241,55541|0100000001001001000000010
22555,24433,24443,11443,11443|0010010000000010100000010
