22222,32111,42151,42555,44555|0001010000001000000101000
35522,35222,35522,33144,31144|0100000010100000010000001
33244,33244,35244,55214,52211|0100000001001001000000010
12244,11244,11244,11233,55533|0010000001010000001010000
41112,44522,44522,44322,33332|0100000001001001000000010
11111,55514,33334,22344,22224|0001010000001000000101000
52222,52223,55523,55144,51144|0010000001100000001001000
22222,22224,21544,11533,11533|0100000001001001000000010
35555,33555,33522,11442,11442|0000101000000101000000100
44422,44122,11123,11155,11555|0001001000000011000000100
22333,22315,22115,22215,44445|0001010000001000000101000
22444,22444,55511,33311,33311|0100000010100000000100100
22333,12133,11134,15544,11544|1000000010010000000100100
25555,22555,42355,44311,44331|0001010000001000000101000
22222,15222,15553,43333,44433|0001010000001000000101000
44441,24411,22553,22553,22555|1000000010010000000100100
55555,33322,34322,34411,11111|0010010000000100100000001
44444,33444,55222,55222,22211|0010010000000010100000010
33442,33422,13222,11255,11255|0010000001010000001010000
11322,11322,55332,43322,44444|0100000010100000010000001
44455,44155,44155,33115,33125|0100000001001001000000010
33311,33311,35551,35224,55224|1000000010010000000100100
55521,55421,54411,44441,33341|0001001000000010010010000
33311,34411,54211,54221,55221|0010000001010000001010000
25553,25553,23333,44413,11113|1000000100000010100000010
44222,34222,34112,33312,35512|0000101000000101000000100
22233,52233,55211,55511,54411|0001010000001000000101000
55544,55514,55511,22211,33333|0001001000000011000000100
51111,51111,55531,52234,55244|0010010000000100100000001
22444,22455,12355,13355,11115|0001010000001000000101000
31122,31122,31222,34222,33555|0010010000000010100000010
55555,55333,55331,52331,52244|1000000100000010100000010
11442,11142,11144,33355,33555|0000101000000101000000100
11111,11225,41325,43355,44455|0100000010100000010000001
33311,33311,22444,22444,22544|0001001000000011000000100
44455,14455,11455,11133,11233|1000000010010000000100100
44422,44422,55122,51122,55133|0100000001001001000000010
44555,44553,11223,11133,13333|0010010000000100100000001
44455,45555,25555,22211,33221|0010000001100000001001000
22444,22443,22553,21113,11113|0001010000001000000101000
22222,23331,54111,54411,55411|0001001000000010010010000
55111,53311,53321,43222,43322|0100000001001001000000010
23333,23333,22113,25544,25544|0001010000001000000101000
44355,44335,13335,11222,11111|0001010000001000000101000
55543,55543,55223,11223,11113|0001010000001000000101000
33322,31124,31124,11524,15555|0001010000001000000101000
44222,44555,14555,11335,11333|0010010000000010100000010
11111,21111,25555,23335,22245|0010010000000010100000010
55511,55511,22113,22433,22433|0001001000000010010010000
33311,44311,44511,42221,22221|0100000001001001000000010
22222,44533,55533,55511,55511|0010010000000010100000010
22222,21122,33355,34455,34444|0000101000000101000000100
14444,11422,13333,13333,55555|0100000010100000000100100
51133,54133,54444,52444,52444|0010000001100000001001000
22244,22444,22443,55441,55511|1000000100000010100000010
22555,22555,42211,44211,44333|0000101000000101000000100
14444,11444,11153,21553,22222|0001001000000010010010000
44455,14445,11342,11322,11322|0100000001001001000000010
43332,45532,44432,41122,44112|0001001000000010010010000
15555,13355,13322,14442,14442|0000101000000101000000100
11113,11133,51122,54422,54222|0000100100100000001001000
33333,33355,15552,11422,11422|0100000010100000010000001
44422,44322,33332,33351,33555|1000000010010000000100100
11111,31111,34155,34255,33225|0010010000000010100000010
33555,33555,33321,34221,44444|0001001000000010010010000
22244,31554,31554,33554,33444|0010000001010000001010000
44111,54311,55331,55333,55233|1000000010010000000100100
33322,13322,11335,11455,11455|0001001000000010010010000
52222,55222,11122,33224,33444|0001010000001000000101000
55522,55522,33221,34421,34441|0001001000000011000000100
33333,33311,24411,22455,25555|0010000001010000001010000
51133,55133,55533,54433,44442|0100000010100000010000001
